index,red,green,blue
3,96,13,151
4,144,20,227
5,144,20,227
6,96,13,151
12,114,10,72
13,19,2,12
16,85,8,54
17,95,8,60
18,57,5,36
19,57,5,36
20,95,8,60
21,85,8,54
22,72,10,114
23,24,3,38
24,60,8,95
25,60,8,95
26,24,3,38
27,72,10,114
28,72,10,114
29,12,2,19
30,48,6,76
31,108,15,170
32,54,8,85
33,24,3,38
34,126,17,199
35,126,17,199
36,227,20,144
37,227,20,144
38,151,13,96
41,189,17,120
42,76,6,48
43,170,15,108
44,85,8,54
45,38,3,24
46,96,13,151
49,120,17,189
50,120,17,189
53,96,13,151
54,144,20,227
55,144,20,227
56,96,13,151
59,120,17,189
60,76,6,48
61,170,15,108
62,85,8,54
63,38,3,24
64,199,17,126
65,199,17,126
66,38,3,24
67,85,8,54
68,170,15,108
69,76,6,48
70,12,2,19
71,72,10,114
72,72,10,114
73,24,3,38
74,60,8,95
75,60,8,95
76,24,3,38
77,72,10,114
78,72,10,114
79,12,2,19
82,54,8,85
83,60,8,95
84,151,13,96
90,85,8,54
91,95,8,60
92,57,5,36
93,57,5,36
94,144,20,227
95,144,20,227
96,96,13,151
