index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,18,20,19
13,0,139,165
14,0,178,200
15,0,179,204
16,0,162,196
17,20,26,28
18,21,19,19
19,21,19,19
20,21,19,19
21,20,20,20
22,0,174,200
23,42,182,205
24,0,173,201
25,45,183,205
26,0,176,200
27,0,152,186
28,17,41,41
29,21,19,19
30,21,19,19
31,0,146,174
32,0,173,203
33,0,160,196
34,0,171,202
35,0,128,155
36,0,155,188
37,44,183,206
38,0,177,200
39,21,19,19
40,21,19,19
41,0,178,203
42,42,182,205
43,0,145,177
44,10,49,51
45,11,46,47
46,32,181,204
47,0,133,162
48,0,161,196
49,20,22,23
50,21,19,19
51,0,110,131
52,0,121,146
53,0,134,163
54,11,47,49
55,15,43,44
56,0,125,150
57,0,171,202
58,44,183,206
59,19,23,23
60,21,19,19
61,0,146,176
62,32,181,204
63,0,178,203
64,0,136,167
65,52,184,207
66,0,152,184
67,52,184,207
68,0,138,169
69,21,19,19
70,21,19,19
71,18,20,19
72,0,177,199
73,0,123,146
74,42,182,205
75,0,173,200
76,0,162,198
77,32,181,204
78,16,43,44
79,21,19,19
80,21,19,19
81,21,19,19
82,20,20,20
83,0,117,138
84,0,178,200
85,0,149,182
86,0,166,196
87,21,29,29
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
