index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,20,20,20
11,0,139,165
12,0,178,200
13,0,179,204
14,0,162,196
15,20,26,28
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,0,174,200
21,42,182,205
22,0,173,201
23,45,183,205
24,0,176,200
25,0,152,186
26,17,41,41
27,21,19,19
28,21,19,19
29,21,19,19
30,0,173,203
31,0,160,196
32,0,171,202
33,0,128,155
34,0,155,188
35,44,183,206
36,0,177,200
37,21,19,19
38,21,19,19
39,21,19,19
40,42,182,205
41,0,145,177
42,10,49,51
43,11,46,47
44,32,181,204
45,0,133,162
46,0,161,196
47,20,22,23
48,21,19,19
49,21,19,19
50,0,121,146
51,0,134,163
52,11,47,49
53,15,43,44
54,0,125,150
55,0,171,202
56,44,183,206
57,19,23,23
58,21,19,19
59,21,19,19
60,32,181,204
61,0,178,203
62,0,136,167
63,52,184,207
64,0,152,184
65,52,184,207
66,0,138,169
67,21,19,19
68,21,19,19
69,21,19,19
70,0,177,199
71,0,123,146
72,42,182,205
73,0,173,200
74,0,162,198
75,32,181,204
76,14,43,44
77,21,19,19
78,21,19,19
79,21,19,19
80,20,20,20
81,0,117,138
82,0,178,200
83,0,149,182
84,0,166,196
85,21,29,29
86,21,19,19
87,21,19,19
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
