index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,0,146,174
5,0,173,203
6,0,160,196
7,0,171,202
8,0,128,155
9,0,155,188
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,0,178,203
15,42,182,205
16,0,145,177
17,10,49,51
18,11,46,47
19,32,181,204
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,0,110,131
25,0,121,146
26,0,134,163
27,11,47,49
28,15,43,44
29,0,125,150
30,21,19,19
31,21,19,19
32,21,19,19
33,21,19,19
34,0,146,176
35,32,181,204
36,0,178,203
37,0,136,167
38,52,184,207
39,0,152,184
40,21,19,19
41,21,19,19
42,21,19,19
43,21,19,19
44,18,20,19
45,0,177,199
46,0,123,146
47,42,182,205
48,0,173,200
49,0,162,198
50,21,19,19
51,21,19,19
52,21,19,19
53,21,19,19
54,21,19,19
55,18,20,19
56,0,117,138
57,0,178,200
58,0,149,182
59,0,166,196
60,21,19,19
61,21,19,19
62,21,19,19
63,21,19,19
64,21,19,19
65,21,19,19
66,21,19,19
67,21,19,19
68,21,19,19
69,21,19,19
70,21,19,19
71,21,19,19
72,21,19,19
73,21,19,19
74,21,19,19
75,21,19,19
76,21,19,19
77,21,19,19
78,21,19,19
79,21,19,19
80,21,19,19
81,21,19,19
82,21,19,19
83,21,19,19
84,21,19,19
85,21,19,19
86,21,19,19
87,21,19,19
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
