index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,18,20,19
6,0,174,200
7,42,182,205
8,0,173,201
9,45,183,205
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,0,146,174
16,0,173,203
17,0,160,196
18,0,171,202
19,0,128,155
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,21,19,19
25,0,178,203
26,42,182,205
27,0,145,177
28,10,49,51
29,11,46,47
30,21,19,19
31,21,19,19
32,21,19,19
33,21,19,19
34,21,19,19
35,0,110,131
36,0,121,146
37,0,134,163
38,11,47,49
39,15,43,44
40,21,19,19
41,21,19,19
42,21,19,19
43,21,19,19
44,21,19,19
45,0,146,176
46,32,181,204
47,0,178,203
48,0,136,167
49,52,184,207
50,21,19,19
51,21,19,19
52,21,19,19
53,21,19,19
54,21,19,19
55,18,20,19
56,0,177,199
57,0,123,146
58,42,182,205
59,0,173,200
60,21,19,19
61,21,19,19
62,21,19,19
63,21,19,19
64,21,19,19
65,21,19,19
66,18,20,19
67,0,117,138
68,0,178,200
69,0,149,182
70,21,19,19
71,21,19,19
72,21,19,19
73,21,19,19
74,21,19,19
75,21,19,19
76,21,19,19
77,21,19,19
78,21,19,19
79,21,19,19
80,21,19,19
81,21,19,19
82,21,19,19
83,21,19,19
84,21,19,19
85,21,19,19
86,21,19,19
87,21,19,19
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
