index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,21,19,19
31,21,19,19
32,21,19,19
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,21,19,19
38,21,19,19
39,21,19,19
40,21,19,19
41,21,19,19
42,21,19,19
43,21,19,19
44,21,19,19
45,21,19,19
46,21,19,19
47,21,19,19
48,21,19,19
49,21,19,19
50,21,19,19
51,21,19,19
52,18,20,19
53,0,139,165
54,0,178,200
55,0,179,204
56,0,162,196
57,20,26,28
58,21,19,19
59,21,19,19
60,21,19,19
61,20,20,20
62,0,174,200
63,42,182,205
64,0,173,201
65,45,183,205
66,0,176,200
67,0,152,186
68,17,41,41
69,21,19,19
70,21,19,19
71,0,146,174
72,0,173,203
73,0,160,196
74,0,171,202
75,0,128,155
76,0,155,188
77,44,183,206
78,0,177,200
79,21,19,19
80,21,19,19
81,0,178,203
82,42,182,205
83,0,145,177
84,10,49,51
85,11,46,47
86,32,181,204
87,0,133,162
88,0,161,196
89,20,22,23
90,21,19,19
91,0,110,131
92,0,121,146
93,0,134,163
94,11,47,49
95,15,43,44
96,0,125,150
97,0,171,202
98,44,183,206
99,20,22,23
