index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,21,19,19
22,20,20,20
23,0,139,165
24,0,178,200
25,0,179,204
26,0,162,196
27,20,26,28
28,21,19,19
29,21,19,19
30,21,19,19
31,18,20,19
32,0,174,200
33,42,182,205
34,0,173,201
35,45,183,205
36,0,176,200
37,0,152,186
38,17,41,41
39,21,19,19
40,21,19,19
41,0,146,174
42,0,173,203
43,0,160,196
44,0,171,202
45,0,128,155
46,0,155,188
47,44,183,206
48,0,177,200
49,21,19,19
50,21,19,19
51,0,178,203
52,42,182,205
53,0,145,177
54,10,49,51
55,11,46,47
56,32,181,204
57,0,133,162
58,0,161,196
59,20,22,23
60,21,19,19
61,0,110,131
62,0,121,146
63,0,134,163
64,11,47,49
65,15,43,44
66,0,125,150
67,0,171,202
68,44,183,206
69,19,23,23
70,21,19,19
71,0,146,176
72,32,181,204
73,0,178,203
74,0,136,167
75,52,184,207
76,0,152,184
77,52,184,207
78,0,138,169
79,21,19,19
80,21,19,19
81,20,20,20
82,0,177,199
83,0,123,146
84,42,182,205
85,0,173,200
86,0,162,198
87,32,181,204
88,14,43,44
89,21,19,19
90,21,19,19
91,21,19,19
92,20,20,20
93,0,117,138
94,0,178,200
95,0,149,182
96,0,166,196
97,22,29,29
98,21,19,19
99,21,19,19
