index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,20,20,20
21,0,139,165
22,0,178,200
23,0,179,204
24,0,162,196
25,20,26,28
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,0,174,200
31,42,182,205
32,0,173,201
33,45,183,205
34,0,176,200
35,0,152,186
36,17,41,41
37,21,19,19
38,21,19,19
39,21,19,19
40,0,173,203
41,0,160,196
42,0,171,202
43,0,128,155
44,0,155,188
45,44,183,206
46,0,177,200
47,21,19,19
48,21,19,19
49,21,19,19
50,42,182,205
51,0,145,177
52,10,49,51
53,11,46,47
54,32,181,204
55,0,133,162
56,0,161,196
57,20,22,23
58,21,19,19
59,21,19,19
60,0,121,146
61,0,134,163
62,11,47,49
63,15,43,44
64,0,125,150
65,0,171,202
66,44,183,206
67,19,23,23
68,21,19,19
69,21,19,19
70,32,181,204
71,0,178,203
72,0,136,167
73,52,184,207
74,0,152,184
75,52,184,207
76,0,138,169
77,21,19,19
78,21,19,19
79,21,19,19
80,0,177,199
81,0,123,146
82,42,182,205
83,0,173,200
84,0,162,198
85,32,181,204
86,14,43,44
87,21,19,19
88,21,19,19
89,21,19,19
90,20,20,20
91,0,117,138
92,0,178,200
93,0,149,182
94,0,166,196
95,22,29,29
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
