index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,18,20,19
12,0,139,165
13,0,178,200
14,0,179,204
15,0,162,196
16,20,26,28
17,21,19,19
18,21,19,19
19,21,19,19
20,20,20,20
21,0,174,200
22,42,182,205
23,0,173,201
24,45,183,205
25,0,176,200
26,0,152,186
27,17,41,41
28,21,19,19
29,21,19,19
30,0,146,174
31,0,173,203
32,0,160,196
33,0,171,202
34,0,128,155
35,0,155,188
36,44,183,206
37,0,177,200
38,21,19,19
39,21,19,19
40,0,178,203
41,42,182,205
42,0,145,177
43,10,49,51
44,11,46,47
45,32,181,204
46,0,133,162
47,0,161,196
48,20,22,23
49,21,19,19
50,0,110,131
51,0,121,146
52,0,134,163
53,11,47,49
54,15,43,44
55,0,125,150
56,0,171,202
57,44,183,206
58,19,23,23
59,21,19,19
60,0,146,176
61,32,181,204
62,0,178,203
63,0,136,167
64,52,184,207
65,0,152,184
66,52,184,207
67,0,138,169
68,21,19,19
69,21,19,19
70,20,20,20
71,0,177,199
72,0,123,146
73,42,182,205
74,0,173,200
75,0,162,198
76,32,181,204
77,14,43,44
78,21,19,19
79,21,19,19
80,21,19,19
81,20,20,20
82,0,117,138
83,0,178,200
84,0,149,182
85,0,166,196
86,21,29,29
87,21,19,19
88,21,19,19
89,21,19,19
90,21,19,19
91,21,19,19
92,21,19,19
93,21,19,19
94,21,19,19
95,21,19,19
96,21,19,19
97,21,19,19
98,21,19,19
99,21,19,19
