index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,21,19,19
31,21,19,19
32,21,19,19
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,21,19,19
38,21,19,19
39,21,19,19
40,21,19,19
41,21,19,19
42,20,20,20
43,0,139,165
44,0,178,200
45,0,179,204
46,0,162,196
47,20,26,28
48,21,19,19
49,21,19,19
50,21,19,19
51,20,20,20
52,0,174,200
53,42,182,205
54,0,173,201
55,45,183,205
56,0,176,200
57,0,152,186
58,17,41,41
59,21,19,19
60,21,19,19
61,0,146,174
62,0,173,203
63,0,160,196
64,0,171,202
65,0,128,155
66,0,155,188
67,44,183,206
68,0,177,200
69,21,19,19
70,21,19,19
71,0,178,203
72,42,182,205
73,0,145,177
74,10,49,51
75,11,46,47
76,32,181,204
77,0,133,162
78,0,161,196
79,20,22,23
80,21,19,19
81,0,110,131
82,0,121,146
83,0,134,163
84,11,47,49
85,15,43,44
86,0,125,150
87,0,171,202
88,44,183,206
89,19,23,23
90,21,19,19
91,0,146,176
92,32,181,204
93,0,178,203
94,0,136,167
95,52,184,207
96,0,152,184
97,52,184,207
98,0,138,169
99,19,23,23
