index,red,green,blue
30,6,9,10
31,38,54,59
32,19,27,29
39,117,109,77
40,234,217,153
41,39,36,25
43,20,18,13
44,59,54,38
45,20,18,13
46,51,72,78
47,153,217,234
48,51,72,78
72,38,54,59
73,77,109,117
74,77,109,117
75,77,109,117
76,51,72,78
82,57,81,88
83,115,163,176
91,117,108,76
92,176,163,115
93,176,163,115
