index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,31,25,24
18,52,30,25
19,21,19,19
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,21,19,19
25,21,19,19
26,136,71,39
27,136,80,39
28,90,50,34
29,21,19,19
30,24,22,21
31,21,19,19
32,21,19,19
33,21,19,19
34,21,19,19
35,21,19,19
36,126,71,37
37,140,83,39
38,119,68,36
39,21,19,19
40,31,26,24
41,116,59,33
42,21,19,19
43,21,19,19
44,21,19,19
45,19,19,19
46,85,47,33
47,161,91,39
48,21,19,19
49,21,19,19
50,163,94,40
51,51,30,25
52,21,19,19
53,21,19,19
54,163,95,40
55,22,20,20
56,119,69,36
57,88,47,33
58,21,19,19
59,21,19,19
60,116,65,34
61,122,72,37
62,24,22,22
63,21,19,19
64,192,131,43
65,38,27,26
66,161,98,40
67,121,69,36
68,22,20,20
69,21,19,19
70,245,222,31
71,244,223,36
72,131,77,39
73,78,42,31
74,139,83,40
75,55,30,26
76,87,49,33
77,163,101,40
78,23,21,20
79,21,19,19
80,192,139,43
81,243,228,54
82,223,188,39
83,78,42,31
84,184,123,43
85,80,44,32
86,129,76,38
87,206,158,42
88,28,23,23
89,21,19,19
90,68,39,28
91,157,97,39
92,115,70,35
93,85,46,33
94,38,27,26
95,166,102,41
96,202,152,43
97,201,148,43
98,21,19,19
99,21,19,19
