index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,117,61,33
13,53,30,26
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,27,23,23
22,167,98,41
23,47,29,27
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,21,19,19
31,94,52,34
32,110,62,33
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,42,29,27
38,164,92,39
39,55,31,27
40,21,19,19
41,194,143,42
42,100,55,34
43,42,29,27
44,21,19,19
45,22,20,20
46,31,25,24
47,140,80,40
48,149,88,40
49,97,53,34
50,94,52,34
51,240,213,32
52,184,120,43
53,99,54,34
54,21,19,19
55,113,63,33
56,150,88,39
57,180,118,43
58,219,178,41
59,113,63,33
60,204,159,42
61,203,159,41
62,199,152,42
63,162,99,40
64,166,102,41
65,237,203,34
66,202,159,41
67,244,221,29
68,240,212,33
69,111,61,33
70,211,172,41
71,226,192,39
72,164,101,41
73,242,214,32
74,245,222,34
75,184,120,43
76,193,136,43
77,243,225,43
78,243,225,41
79,131,77,39
80,212,169,41
81,241,215,32
82,211,169,41
83,239,209,33
84,185,128,41
85,167,108,41
86,181,124,43
87,244,224,39
88,194,146,42
89,191,135,42
90,171,103,41
91,219,181,40
92,71,40,29
93,131,77,39
94,133,76,39
95,91,51,34
96,137,82,39
97,241,209,32
98,206,157,43
99,191,135,42
