index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,120,64,34
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,128,73,38
22,85,47,33
23,21,19,19
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,21,19,19
31,22,20,20
32,143,86,39
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,21,19,19
38,21,19,19
39,80,44,32
40,21,19,19
41,108,58,33
42,161,98,40
43,21,19,19
44,21,19,19
45,21,19,19
46,61,35,27
47,21,19,19
48,21,19,19
49,164,101,41
50,21,19,19
51,158,93,39
52,121,69,36
53,21,19,19
54,21,19,19
55,21,19,19
56,102,56,34
57,194,145,42
58,28,24,23
59,220,182,39
60,62,36,27
61,201,155,42
62,221,186,39
63,21,19,19
64,208,165,42
65,201,153,42
66,77,42,30
67,243,225,46
68,192,142,42
69,239,212,33
70,108,61,33
71,243,228,57
72,241,228,71
73,167,103,41
74,243,227,48
75,229,195,38
76,53,32,27
77,243,219,30
78,192,144,42
79,205,162,41
80,131,73,38
81,217,180,40
82,243,225,41
83,198,154,41
84,106,59,33
85,227,194,38
86,205,161,41
87,244,223,36
88,197,149,43
89,162,94,39
90,66,37,27
91,176,115,43
92,186,129,42
93,201,153,42
94,163,100,40
95,88,49,34
96,160,100,39
97,244,223,36
98,161,97,39
99,162,94,39
