index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,47,29,27
22,21,19,19
23,21,19,19
24,38,27,26
25,21,19,19
26,21,19,19
27,21,19,19
28,35,26,25
29,42,28,27
30,42,29,27
31,126,75,38
32,30,25,24
33,34,25,25
34,57,33,27
35,21,19,19
36,21,19,19
37,21,19,19
38,167,103,41
39,23,21,21
40,137,80,40
41,112,61,32
42,31,26,24
43,93,52,34
44,62,36,27
45,21,19,19
46,21,19,19
47,74,41,30
48,192,142,42
49,21,19,19
50,143,85,39
51,42,28,27
52,98,55,34
53,36,26,25
54,127,73,38
55,21,19,19
56,25,21,21
57,195,146,42
58,125,75,38
59,20,20,19
60,118,67,35
61,47,29,27
62,199,152,42
63,21,19,19
64,240,212,32
65,23,21,21
66,75,42,30
67,215,175,41
68,98,55,34
69,21,19,19
70,190,138,42
71,166,105,41
72,226,193,38
73,21,19,19
74,222,186,39
75,88,49,34
76,108,61,33
77,239,211,33
78,77,42,30
79,21,19,19
80,199,152,42
81,155,96,39
82,170,110,42
83,172,113,43
84,211,169,41
85,166,103,41
86,161,97,39
87,242,218,30
88,119,69,36
89,21,19,19
90,111,59,33
91,95,53,34
92,97,53,35
93,217,175,41
94,68,39,28
95,168,105,41
96,211,167,41
97,244,224,42
98,21,19,19
99,21,19,19
