index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,34,27,25
5,212,169,41
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,21,19,19
14,21,19,19
15,21,19,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,21,19,19
25,21,19,19
26,21,19,19
27,21,19,19
28,21,19,19
29,21,19,19
30,21,19,19
31,21,19,19
32,21,19,19
33,21,19,19
34,21,19,19
35,21,19,19
36,21,19,19
37,21,19,19
38,21,19,19
39,21,19,19
40,21,19,19
41,21,19,19
42,21,19,19
43,21,19,19
44,21,19,19
45,21,19,19
46,21,19,19
47,21,19,19
48,21,19,19
49,21,19,19
50,21,19,19
51,21,19,19
52,21,19,19
53,21,19,19
54,21,19,19
55,21,19,19
56,21,19,19
57,37,27,26
58,109,59,33
59,21,19,19
60,25,21,21
61,244,224,42
62,220,180,40
63,111,61,33
64,21,19,19
65,35,26,25
66,21,19,19
67,25,21,21
68,121,71,36
69,21,19,19
70,155,92,39
71,203,159,41
72,194,144,42
73,113,63,33
74,50,29,26
75,84,46,33
76,127,71,38
77,118,69,35
78,156,97,39
79,80,45,32
80,158,93,39
81,240,212,32
82,243,227,58
83,195,145,43
84,127,71,38
85,200,153,42
86,136,81,40
87,158,97,39
88,226,192,39
89,197,150,43
90,69,38,28
91,239,207,33
92,232,202,35
93,190,139,42
94,209,160,43
95,244,224,39
96,182,120,43
97,195,145,43
98,240,212,32
99,197,150,43
